longitude,latitude,altitude,iteration
44.95379,-1.19967,20.827775955200195,20
44.95379,-1.19864,19.990140914916992,20
44.95379,-1.1976,21.070585250854492,20
44.95379,-1.19656,23.843013763427734,20
44.95379,-1.19552,27.07848358154297,20
44.95379,-1.19448,28.7415828704834,20
44.95379,-1.19344,30.167253494262695,20
44.95379,-1.1924,30.147663116455078,20
44.95379,-1.19136,29.1787166595459,20
44.95379,-1.19032,29.285123825073242,20
44.95379,-1.18928,26.865751266479492,20
44.95379,-1.18824,23.069150924682617,20
44.95379,-1.1872,23.332862854003906,20
44.96383,-1.20767,2.787893056869507,1
44.96383,-1.20657,10.199297904968262,1
44.96383,-1.20546,13.433765411376953,1
44.96383,-1.20435,11.023205757141113,1
44.96383,-1.20325,14.101410865783691,1
44.96383,-1.20214,16.472379684448242,1
44.96383,-1.20103,16.824880599975586,1
44.96383,-1.19992,16.861663818359375,1
44.96383,-1.19882,17.04437255859375,1
44.96383,-1.19771,18.522022247314453,1
44.96383,-1.1966,21.54042625427246,1
44.96383,-1.19549,25.430301666259766,1
44.96383,-1.19439,23.43511962890625,1
44.96383,-1.19328,18.314849853515625,1
44.96383,-1.19217,18.508567810058594,1
44.96383,-1.19107,22.67146110534668,1
44.96383,-1.18996,24.161792755126953,1
44.96383,-1.18885,23.506013870239258,1
44.96383,-1.18774,21.03487777709961,1
44.96383,-1.18664,20.11130142211914,1
44.96383,-1.18553,20.60155487060547,1
44.96383,-1.18442,23.60153579711914,1
44.96383,-1.18331,25.270614624023438,1
44.96383,-1.18221,28.926021575927734,1
44.96383,-1.1811,30.080581665039062,1
44.96383,-1.17999,27.558908462524414,1
44.96383,-1.17888,26.867088317871094,1
44.96383,-1.17778,31.645151138305664,1
44.96383,-1.17667,29.24598503112793,1
44.96383,-1.17556,31.736865997314453,1
44.96383,-1.17446,31.452524185180664,1
44.96383,-1.17335,24.416439056396484,1
44.96383,-1.17224,26.0313663482666,1
44.96383,-1.17113,33.00934600830078,1
44.96383,-1.17003,31.372173309326172,1
44.96383,-1.16892,34.70801544189453,1
44.96383,-1.16781,37.48655700683594,1
44.96383,-1.1667,39.57646560668945,1
44.96383,-1.1656,34.92392349243164,1
44.96383,-1.16449,28.601354598999023,1
44.96383,-1.16338,32.429405212402344,1
44.96383,-1.16228,40.49442672729492,1
44.96383,-1.16117,45.30614471435547,1
44.96383,-1.16006,35.23904800415039,1
44.96383,-1.15895,26.266124725341797,1
44.96383,-1.15785,23.791231155395508,1
44.96383,-1.15674,23.052330017089844,1
44.96383,-1.15563,20.337894439697266,1
44.96383,-1.15452,20.49461555480957,1
44.96383,-1.15342,23.9849910736084,1
44.96383,-1.15231,31.315017700195312,1
44.96383,-1.1512,33.303131103515625,1
44.96383,-1.1501,30.30489158630371,1
44.96383,-1.14899,26.467510223388672,1
44.96383,-1.14788,24.84245491027832,1
44.96383,-1.14677,24.887603759765625,1
44.96383,-1.14567,24.8020076751709,1
44.96383,-1.14456,23.543384552001953,1
44.96383,-1.14345,23.513099670410156,1
44.96383,-1.14234,23.541271209716797,1
44.96383,-1.14124,24.223491668701172,1
44.96383,-1.14013,25.74643325805664,1
44.96383,-1.13902,24.06210708618164,1
44.96383,-1.13792,21.243438720703125,1
44.96383,-1.13681,11.799003601074219,1
44.96383,-1.1357,10.0,1
44.96383,-1.13459,10.0,1
44.96383,-1.13349,10.0,1
44.96383,-1.13238,10.0,1
44.96383,-1.13127,10.0,1
44.96383,-1.13016,10.0,1
44.96383,-1.12906,10.0,1
44.96383,-1.12795,10.0,1
44.96383,-1.12684,10.0,1
44.96383,-1.12574,10.0,1
44.96383,-1.12463,10.0,1
44.96383,-1.12352,10.0,1
44.96383,-1.12241,10.0,1
44.96383,-1.12131,10.0,1
44.96383,-1.1202,10.0,1
44.96383,-1.11909,10.0,1
44.96383,-1.11798,10.0,1
44.96383,-1.11688,10.0,1
44.96383,-1.11577,10.0,1
44.96383,-1.11466,10.0,1
44.96383,-1.11356,10.0,1
44.96383,-1.11245,10.0,1
44.96383,-1.11134,10.0,1
44.96383,-1.11023,10.0,2
44.96383,-1.10913,10.0,2
44.96383,-1.10802,10.0,2
44.96383,-1.10691,10.0,2
44.96383,-1.1058,10.0,2
44.96383,-1.1047,10.0,2
